Date,Total Primary Energy Consumption
1998-01-15,8.607432
1998-02-15,7.644974
1998-03-15,8.168632
1998-04-15,7.510096
1998-05-15,7.574494
1998-06-15,7.714748
1998-07-15,8.276433
1998-08-15,8.225676
1998-09-15,7.61507
1998-10-15,7.608851
1998-11-15,7.505875
1998-12-15,8.468989
1999-01-15,8.911852
1999-02-15,7.80851
1999-03-15,8.369499
1999-04-15,7.655634
1999-05-15,7.622277
1999-06-15,7.804101
1999-07-15,8.368263
1999-08-15,8.376896
1999-09-15,7.611081
1999-10-15,7.713475
1999-11-15,7.633339
1999-12-15,8.670977
2000-01-15,8.945497
2000-02-15,8.402198
2000-03-15,8.293292
2000-04-15,7.669696
2000-05-15,8.025763
2000-06-15,8.002816
2000-07-15,8.230393
2000-08-15,8.542549
2000-09-15,7.692319
2000-10-15,7.760527
2000-11-15,7.939981
2000-12-15,9.19844
2001-01-15,9.229002
2001-02-15,8.072475
2001-03-15,8.473223
2001-04-15,7.638077
2001-05-15,7.629031
2001-06-15,7.65256
2001-07-15,8.144365
2001-08-15,8.303245
2001-09-15,7.400545
2001-10-15,7.717423
2001-11-15,7.543832
2001-12-15,8.259881
2002-01-15,8.792683
2002-02-15,7.856609
2002-03-15,8.35926
2002-04-15,7.758495
2002-05-15,7.800416
2002-06-15,7.890038
2002-07-15,8.425767
2002-08-15,8.34495
2002-09-15,7.660305
2002-10-15,7.80155
2002-11-15,8.01308
2002-12-15,8.832151
2003-01-15,9.233312
2003-02-15,8.43129
2003-03-15,8.38289
2003-04-15,7.668229
2003-05-15,7.663895
2003-06-15,7.642504
2003-07-15,8.272414
2003-08-15,8.391306
2003-09-15,7.605765
2003-10-15,7.781205
2003-11-15,7.835596
2003-12-15,8.926267
2004-01-15,9.350291
2004-02-15,8.733796
2004-03-15,8.430947
2004-04-15,7.79365
2004-05-15,7.966288
2004-06-15,7.982258
2004-07-15,8.40631
2004-08-15,8.354259
2004-09-15,7.830364
2004-10-15,7.947516
2004-11-15,8.050394
2004-12-15,9.156165
2005-01-15,9.287408
2005-02-15,8.28369
2005-03-15,8.726251
2005-04-15,7.714702
2005-05-15,7.938992
2005-06-15,8.172038
2005-07-15,8.580711
2005-08-15,8.68778
2005-09-15,7.789245
2005-10-15,7.782683
2005-11-15,7.93952
2005-12-15,9.198364
2006-01-15,8.815156
2006-02-15,8.190394
2006-03-15,8.584244
2006-04-15,7.709121
2006-05-15,7.956158
2006-06-15,8.146008
2006-07-15,8.632076
2006-08-15,8.731219
2006-09-15,7.785711
2006-10-15,8.019633
2006-11-15,8.028285
2006-12-15,8.793257
2007-01-15,9.217747
2007-02-15,8.750787
2007-03-15,8.555085
2007-04-15,7.915909
2007-05-15,8.013514
2007-06-15,8.090308
2007-07-15,8.48321
2007-08-15,8.8124
2007-09-15,7.933632
2007-10-15,7.964483
2007-11-15,8.074134
2007-12-15,9.081762
2008-01-15,9.410223
2008-02-15,8.649687
2008-03-15,8.584242
2008-04-15,7.832002
2008-05-15,7.889757
2008-06-15,8.036547
2008-07-15,8.411818
2008-08-15,8.211733
2008-09-15,7.348739
2008-10-15,7.779769
