Date,Amount
2011-03-11,2293.0
2011-03-18,2293.0
2011-03-25,2293.0
2011-04-01,2293.0
2011-04-08,2293.0
2011-04-15,2188.0
2011-04-22,2188.0
2011-04-29,2188.0
2011-05-06,2188.0
2011-05-13,2157.0
2011-05-20,2157.0
2011-05-27,2157.0
2011-06-03,2157.0
2011-06-10,2418.0
2011-06-17,2418.0
2011-06-24,2418.0
2011-07-01,2418.0
2011-07-08,2418.0
2011-07-15,2274.0
2011-07-22,2274.0
2011-07-29,2274.0
2011-08-05,2274.0
2011-08-12,2381.0
2011-08-19,2381.0
2011-08-26,2381.0
2011-09-02,2381.0
2011-09-09,2381.0
2011-09-16,2479.0
2011-09-23,2479.0
2011-09-30,2479.0
2011-10-07,2479.0
2011-10-14,2741.0
2011-10-21,2741.0
2011-10-28,2741.0
2011-11-04,2741.0
2011-11-11,2757.0
2011-11-18,2858.0
2011-11-25,2858.0
2011-12-02,2858.0
2011-12-09,2844.0
2011-12-16,2844.0
2011-12-23,2844.0
2011-12-30,2844.0
2012-01-06,2844.0
2012-01-13,2884.0
2012-01-20,2884.0
2012-01-27,2884.0
2012-02-03,2884.0
2012-02-10,3059.0
2012-02-17,3119.0
2012-02-24,3119.0
2012-03-02,3119.0
2012-03-09,3119.0
2012-03-16,2696.0
2012-03-23,2696.0
2012-03-30,2696.0
2012-04-06,2696.0
2012-04-13,2687.0
2012-04-20,2687.0
2012-04-27,2687.0
2012-05-04,2687.0
2012-05-11,2852.0
2012-05-18,2852.0
2012-05-25,2852.0
2012-06-01,2852.0
2012-06-08,2896.0
2012-06-15,2896.0
2012-06-22,2896.0
2012-06-29,2896.0
2012-07-06,2896.0
2012-07-13,2896.0
2012-07-20,2806.0
2012-07-27,2806.0
2012-08-03,2806.0
2012-08-10,2826.0
2012-08-17,2826.0
2012-08-24,2826.0
2012-08-31,2826.0
2012-09-07,2826.0
2012-09-14,2872.0
2012-09-21,2872.0
2012-09-28,2872.0
2012-10-05,2872.0
2012-10-12,2737.0
2012-10-19,2737.0
2012-10-26,2737.0
2012-11-02,2737.0
2012-11-09,2777.0
2012-11-16,2777.0
2012-11-23,2777.0
2012-11-30,2777.0
2012-12-07,2777.0
2012-12-14,2901.0
2012-12-21,2901.0
2012-12-28,2901.0
2013-01-04,2901.0
2013-01-11,2901.0
2013-01-18,3047.0
2013-01-25,3047.0
2013-02-01,3047.0
2013-02-08,3047.0
2013-02-15,3047.0
2013-02-22,3239.0
2013-03-01,3239.0
2013-03-08,3239.0
2013-03-15,2849.0
2013-03-22,2849.0
2013-03-29,2849.0
2013-04-05,2849.0
2013-04-12,2849.0
2013-04-19,2846.0
2013-04-26,2846.0
2013-05-03,2846.0
2013-05-10,2846.0
2013-05-17,2682.0
2013-05-24,2682.0
2013-05-31,2682.0
2013-06-07,2682.0
2013-06-14,2682.0
2013-06-21,2807.0
2013-06-28,2807.0
2013-07-05,2807.0
2013-07-12,2807.0
2013-07-19,2903.0
2013-07-26,2903.0
2013-08-02,2903.0
2013-08-09,2903.0
2013-08-16,3190.0
2013-08-23,3190.0
2013-08-30,3190.0
2013-09-06,3190.0
2013-09-13,3190.0
2013-09-20,3372.0
2013-09-27,3372.0
2013-10-04,3372.0
2013-10-11,3372.0
2013-10-18,3372.0
2013-10-25,3323.0
2013-11-01,3323.0
2013-11-08,3323.0
2013-11-15,3323.0
2013-11-22,3386.0
2013-11-29,3386.0
2013-12-06,3386.0
2013-12-13,3386.0
2013-12-20,3583.0
2013-12-27,3583.0
2014-01-03,3583.0
2014-01-10,3583.0
2014-01-17,3583.0
2014-01-24,3661.0
2014-01-31,3661.0
2014-02-07,3661.0
2014-02-14,3661.0
2014-02-21,3749.0
2014-02-28,3749.0
2014-03-07,3749.0
2014-03-14,3749.0
2014-03-21,3749.0
2014-03-28,3542.0
2014-04-04,3542.0
2014-04-11,3542.0
2014-04-18,3542.0
2014-04-25,3004.0
2014-05-02,3004.0
2014-05-09,3004.0
2014-05-16,3004.0
2014-05-23,3079.0
2014-05-30,3079.0
2014-06-06,3079.0
2014-06-13,3079.0
2014-06-20,3119.0
2014-06-27,3119.0
2014-07-04,3119.0
2014-07-11,3119.0
