Date,Total Primary Energy Production
2008-03-15,6.16345
2008-04-15,5.997734
2008-05-15,6.214129
2008-06-15,6.069528
2008-07-15,6.397995
2008-08-15,6.296118
2008-09-15,5.638863
2008-10-15,6.100074
2008-11-15,5.952466
2008-12-15,6.297724
2009-01-15,6.296151
2009-02-15,5.718002
2009-03-15,6.23991
2009-04-15,5.926726
2009-05-15,6.076213
2009-06-15,6.074153
2009-07-15,6.205382
2009-08-15,6.178134
2009-09-15,5.904703
2009-10-15,5.991571
2009-11-15,5.852835
2009-12-15,6.127085
2010-01-15,6.15851
2010-02-15,5.737331
2010-03-15,6.379287
2010-04-15,6.0512
2010-05-15,6.206204
2010-06-15,6.196441
2010-07-15,6.336494
2010-08-15,6.40156
2010-09-15,6.278248
2010-10-15,6.334765
2010-11-15,6.254228
2010-12-15,6.571941
2011-01-15,6.494694
2011-02-15,5.894352
2011-03-15,6.674793
2011-04-15,6.30205
2011-05-15,6.437992
2011-06-15,6.43398
2011-07-15,6.500339
2011-08-15,6.706967
2011-09-15,6.439808
2011-10-15,6.681976
2011-11-15,6.657879
2011-12-15,6.878954
2012-01-15,6.938295
2012-02-15,6.338065
2012-03-15,6.654506
2012-04-15,6.276502
2012-05-15,6.601695
2012-06-15,6.455473
2012-07-15,6.75207
2012-08-15,6.797166
2012-09-15,6.442528
2012-10-15,6.684444
2012-11-15,6.546418
2012-12-15,6.761905
2013-01-15,6.844278
2013-02-15,6.228362
2013-03-15,6.812175
2013-04-15,6.616221
2013-05-15,6.920834
2013-06-15,6.7444
2013-07-15,7.064109
2013-08-15,7.121169
2013-09-15,6.801887
2013-10-15,6.885486
2013-11-15,6.845351
2013-12-15,6.981775
2014-01-15,7.176104
2014-02-15,6.475834
2014-03-15,7.2981
2014-04-15,7.136803
2014-05-15,7.361907
2014-06-15,7.230598
2014-07-15,7.550424
2014-08-15,7.562948
2014-09-15,7.297763
2014-10-15,7.523123
2014-11-15,7.371353
2014-12-15,7.77473
2015-01-15,7.71426
2015-02-15,6.875218
2015-03-15,7.593954
2015-04-15,7.331749
2015-05-15,7.368835
2015-06-15,7.123558
2015-07-15,7.539279
2015-08-15,7.650223
2015-09-15,7.325535
2015-10-15,7.369965
2015-11-15,7.117313
2015-12-15,7.283738
2016-01-15,7.232943
2016-02-15,6.812103
2016-03-15,7.137936
2016-04-15,6.727723
2016-05-15,6.995046
2016-06-15,6.8977
2016-07-15,7.13798
2016-08-15,7.196661
2016-09-15,6.856598
2016-10-15,7.110886
2016-11-15,7.032505
2016-12-15,7.202939
2017-01-15,7.299009
2017-02-15,6.746042
2017-03-15,7.400069
2017-04-15,7.018323
2017-05-15,7.337437
2017-06-15,7.306
2017-07-15,7.414646
2017-08-15,7.516456
2017-09-15,7.230285
2017-10-15,7.580653
2017-11-15,7.544161
2017-12-15,7.737651
2018-01-15,7.74607
2018-02-15,7.2085
2018-03-15,7.980851
2018-04-15,7.603102
2018-05-15,7.967106
2018-06-15,7.866949
2018-07-15,8.11326
2018-08-15,8.403339
2018-09-15,7.988615
2018-10-15,8.265326
2018-11-15,8.181256
2018-12-15,8.478212
2019-01-15,8.531332
2019-02-15,7.687611
2019-03-15,8.343293
2019-04-15,8.326411
2019-05-15,8.65173
2019-06-15,8.335032
2019-07-15,8.537514
2019-08-15,8.765608
2019-09-15,8.425059
2019-10-15,8.651781
2019-11-15,8.467751
2019-12-15,8.763201
2020-01-15,8.78009
2020-02-15,8.131493
2020-03-15,8.493784
2020-04-15,7.783251
2020-05-15,7.488119
2020-06-15,7.630762
2020-07-15,8.022103
2020-08-15,7.977021
2020-09-15,7.709434
2020-10-15,7.763143
2020-11-15,7.859993
2020-12-15,8.108252
2021-01-15,8.24945
2021-02-15,6.858925
2021-03-15,8.363999
2021-04-15,8.016017
2021-05-15,8.398645
2021-06-15,8.16815
2021-07-15,8.35581
2021-08-15,8.419367
2021-09-15,8.064732
2021-10-15,8.384189
2021-11-15,8.346281
2021-12-15,8.670395
2022-01-15,8.545379
2022-02-15,7.778836
2022-03-15,8.693411
2022-04-15,8.322026
2022-05-15,8.739299
2022-06-15,8.584287
2022-07-15,8.785791
2022-08-15,8.824779
2022-09-15,8.572728
2022-10-15,8.774752
2022-11-15,8.634988
2022-12-15,8.679545
2023-01-15,9.023266
2023-02-15,8.191656
