Date,Amount
1997-01-17,1899.0
1997-01-24,2366.0
1997-01-31,1552.0
1997-02-07,1962.0
1997-02-14,2216.0
1997-02-21,1508.0
1997-02-28,2254.0
1997-03-07,2074.0
1997-03-14,1964.0
1997-03-21,2001.0
1997-03-28,1597.0
1997-04-04,2221.0
1997-04-11,2272.0
1997-04-18,2043.0
1997-04-25,2000.0
1997-05-02,1724.0
1997-05-09,1915.0
1997-05-16,2192.0
1997-05-23,2257.0
1997-05-30,1991.0
1997-06-06,1912.0
1997-06-13,1884.0
1997-06-20,1921.0
1997-06-27,1725.0
1997-07-04,2375.0
1997-07-11,1329.0
1997-07-18,2118.0
1997-07-25,1737.0
1997-08-01,2052.0
1997-08-08,1250.0
1997-08-15,1858.0
1997-08-22,1838.0
1997-08-29,1644.0
1997-09-05,1484.0
1997-09-12,1724.0
1997-09-19,1758.0
1997-09-26,2095.0
1997-10-03,1791.0
1997-10-10,1768.0
1997-10-17,1687.0
1997-10-24,1644.0
1997-10-31,1943.0
1997-11-07,1522.0
1997-11-14,1452.0
1997-11-21,1562.0
1997-11-28,1424.0
1997-12-05,2017.0
1997-12-12,1290.0
1997-12-19,1741.0
1997-12-26,1718.0
1998-01-02,1508.0
1998-01-09,1477.0
1998-01-16,1706.0
1998-01-23,1746.0
1998-01-30,1959.0
1998-02-06,1641.0
1998-02-13,1642.0
1998-02-20,1987.0
1998-02-27,1336.0
1998-03-06,1977.0
1998-03-13,1987.0
1998-03-20,1590.0
1998-03-27,1680.0
1998-04-03,2121.0
1998-04-10,1746.0
1998-04-17,2049.0
1998-04-24,1664.0
1998-05-01,1734.0
1998-05-08,2029.0
1998-05-15,2033.0
1998-05-22,1686.0
1998-05-29,1932.0
1998-06-05,2260.0
1998-06-12,1871.0
1998-06-19,1819.0
1998-06-26,2045.0
1998-07-03,1804.0
1998-07-10,1531.0
1998-07-17,1902.0
1998-07-24,1580.0
1998-07-31,1725.0
1998-08-07,1345.0
1998-08-14,2233.0
1998-08-21,1671.0
1998-08-28,1855.0
1998-09-04,1567.0
1998-09-11,1824.0
1998-09-18,1929.0
1998-09-25,1786.0
1998-10-02,1947.0
1998-10-09,2041.0
1998-10-16,1786.0
1998-10-23,1806.0
1998-10-30,2162.0
1998-11-06,1535.0
1998-11-13,2048.0
1998-11-20,1533.0
1998-11-27,1692.0
1998-12-04,1656.0
1998-12-11,1899.0
1998-12-18,2145.0
1998-12-25,1717.0
1999-01-01,1865.0
1999-01-08,1337.0
1999-01-15,1819.0
1999-01-22,1829.0
1999-01-29,1630.0
1999-02-05,1983.0
1999-02-12,2224.0
1999-02-19,1669.0
1999-02-26,1952.0
1999-03-05,1999.0
1999-03-12,1636.0
1999-03-19,1493.0
1999-03-26,1815.0
1999-04-02,2086.0
1999-04-09,1930.0
1999-04-16,1804.0
1999-04-23,2320.0
1999-04-30,1925.0
1999-05-07,2305.0
1999-05-14,1904.0
1999-05-21,1953.0
1999-05-28,2333.0
1999-06-04,1521.0
1999-06-11,1653.0
1999-06-18,2116.0
1999-06-25,2383.0
1999-07-02,1971.0
1999-07-09,1406.0
1999-07-16,1919.0
1999-07-23,2064.0
1999-07-30,2136.0
1999-08-06,1818.0
1999-08-13,1799.0
1999-08-20,1785.0
1999-08-27,2081.0
1999-09-03,1857.0
1999-09-10,1755.0
1999-09-17,2010.0
1999-09-24,2040.0
1999-10-01,2182.0
1999-10-08,2198.0
1999-10-15,2249.0
1999-10-22,1893.0
1999-10-29,1979.0
1999-11-05,1532.0
1999-11-12,1935.0
1999-11-19,1550.0
1999-11-26,1962.0
1999-12-03,1476.0
1999-12-10,1648.0
1999-12-17,1549.0
1999-12-24,1771.0
1999-12-31,1976.0
2000-01-07,1798.0
2000-01-14,1833.0
2000-01-21,2110.0
2000-01-28,2711.0
2000-02-04,1863.0
2000-02-11,2044.0
2000-02-18,2446.0
2000-02-25,2536.0
2000-03-03,1846.0
2000-03-10,2207.0
2000-03-17,2127.0
2000-03-24,2107.0
2000-03-31,1831.0
2000-04-07,1594.0
2000-04-14,1882.0
2000-04-21,1807.0
2000-04-28,2416.0
2000-05-05,1977.0
2000-05-12,1609.0
2000-05-19,2592.0
2000-05-26,2045.0
2000-06-02,2388.0
2000-06-09,2046.0
2000-06-16,1806.0
2000-06-23,2403.0
2000-06-30,1937.0
2000-07-07,1775.0
2000-07-14,1727.0
2000-07-21,1783.0
2000-07-28,2099.0
2000-08-04,2250.0
2000-08-11,1886.0
2000-08-18,1921.0
2000-08-25,1747.0
2000-09-01,1912.0
2000-09-08,2034.0
2000-09-15,1789.0
2000-09-22,2331.0
2000-09-29,2176.0
2000-10-06,2055.0
2000-10-13,1976.0
2000-10-20,2467.0
2000-10-27,1898.0
2000-11-03,2579.0
2000-11-10,2414.0
2000-11-17,1739.0
2000-11-24,2082.0
2000-12-01,2268.0
2000-12-08,2102.0
2000-12-15,2960.0
2000-12-22,1643.0
2000-12-29,2565.0
2001-01-05,3600.0
2001-01-12,2837.0
2001-01-19,2559.0
2001-01-26,3108.0
2001-02-02,3060.0
2001-02-09,2502.0
2001-02-16,2515.0
2001-02-23,2767.0
2001-03-02,3100.0
2001-03-09,2577.0
2001-03-16,1922.0
2001-03-23,2263.0
2001-03-30,2142.0
2001-04-06,1999.0
2001-04-13,2043.0
2001-04-20,2165.0
2001-04-27,2584.0
2001-05-04,2607.0
2001-05-11,1874.0
2001-05-18,2435.0
2001-05-25,2375.0
2001-06-01,1985.0
2001-06-08,2070.0
2001-06-15,2289.0
2001-06-22,2343.0
2001-06-29,2252.0
2001-07-06,1595.0
2001-07-13,2108.0
2001-07-20,2342.0
2001-07-27,2392.0
2001-08-03,2451.0
2001-08-10,1762.0
2001-08-17,2400.0
2001-08-24,2068.0
2001-08-31,2244.0
2001-09-07,2154.0
2001-09-14,1902.0
2001-09-21,2275.0
2001-09-28,2874.0
2001-10-05,2188.0
2001-10-12,2481.0
2001-10-19,2134.0
2001-10-26,2009.0
2001-11-02,2351.0
2001-11-09,2080.0
2001-11-16,2311.0
2001-11-23,2336.0
2001-11-30,2213.0
2001-12-07,1814.0
2001-12-14,2312.0
2001-12-21,2064.0
2001-12-28,2123.0
2002-01-04,2333.0
2002-01-11,2028.0
2002-01-18,1844.0
2002-01-25,2239.0
2002-02-01,2204.0
2002-02-08,1912.0
2002-02-15,2499.0
2002-02-22,1948.0
2002-03-01,2232.0
2002-03-08,2018.0
2002-03-15,1950.0
2002-03-22,2203.0
2002-03-29,2402.0
2002-04-05,2644.0
2002-04-12,2235.0
2002-04-19,2305.0
2002-04-26,2330.0
2002-05-03,2708.0
2002-05-10,2245.0
2002-05-17,3040.0
2002-05-24,2594.0
2002-05-31,1890.0
2002-06-07,2138.0
2002-06-14,1980.0
2002-06-21,2770.0
2002-06-28,2431.0
2002-07-05,1742.0
2002-07-12,2149.0
2002-07-19,2090.0
2002-07-26,2172.0
2002-08-02,2407.0
2002-08-09,1923.0
2002-08-16,2114.0
2002-08-23,2514.0
2002-08-30,2116.0
2002-09-06,2572.0
2002-09-13,1999.0
2002-09-20,2014.0
2002-09-27,2213.0
2002-10-04,2679.0
2002-10-11,1813.0
2002-10-18,1917.0
2002-10-25,2427.0
2002-11-01,2741.0
2002-11-08,2288.0
2002-11-15,1829.0
2002-11-22,2874.0
2002-11-29,2673.0
2002-12-06,2406.0
2002-12-13,2409.0
2002-12-20,2409.0
2002-12-27,2216.0
2003-01-03,2280.0
2003-01-10,2608.0
2003-01-17,2096.0
2003-01-24,2533.0
2003-01-31,2071.0
2003-02-07,2580.0
2003-02-14,2277.0
2003-02-21,2277.0
2003-02-28,2871.0
2003-03-07,2219.0
2003-03-14,2920.0
2003-03-21,3409.0
2003-03-28,2358.0
2003-04-04,2540.0
2003-04-11,2414.0
2003-04-18,2306.0
2003-04-25,2469.0
2003-05-02,2722.0
2003-05-09,2111.0
2003-05-16,2841.0
2003-05-23,2638.0
2003-05-30,2558.0
